Identifier,Remarks,Filter,default,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr,sv,tr
,credits headings,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_ORIGINAL,,,Original credits,,,,,,,,,,,,,,,,,,,,,,Оригинальные титры,,,
WF_CRED_ORIGINAL_DOOM1,,,Original DOOM credits,,,,,,,,,,,,,,,,,,,,,,Оригинальные титры DOOM,,,
WF_CRED_ORIGINAL_UDOOM,,,Original The Ultimate DOOM credits,,,,,,,,,,,,,,,,,,,,,,Оригинальные титры Предельного DOOM,,,
WF_CRED_DEVPUB,,,Developed and Published by,,,,Entwickelt und vertrieben von,,,,,,,,,,,,,,Stworzone i wydane przez,,,,Разработчик и издатель,,,
WF_CRED_CODE,,,Programmers,,,,Programmierer,,,,,,,,,,,,,,Programiści,,,,Программисты,,,
WF_CRED_ART,,,Artists,,,,Künstler,,,,,,,,,,,,,,Artyści,,,,Художники,,,
WF_CRED_BIZ,,,Business,,,,Geschäftliches,,,,,,,,,,,,,,Biznes,,,,Бизнес,,,
WF_CRED_SUPPORT,,,Software Support,,,,,,,,,,,,,,,,,,Wsparcie programu,,,,Поддержка ПО,,,
WF_CRED_AUDIO,,,Music and Sound,,,,Musik und Sound,,,,,,,,,,,,,,Muzyka i dźwięk,,,,Музыка и звуки,,,
WF_CRED_AUDIO_CODE,,,Sound Code,,,,,,,,,,,,,,,,,,Kod dźwięku,,,,Звуковой код,,,
WF_CRED_LD,,,Level Designers,,,,Level Designer,,,,,,,,,,,,,,Projektanci poziomów,,,,Дизайнеры уровней,,,
WF_CRED_THANKS,,,Special Thanks,,,,Spezieller Dank,,,,,,,,,,,,,,Podziękowania dla,,,,Особая благодарность,,,
WF_CRED_DEV,,,Developed by,,,,Entwickelt von,,,,,,,,,,,,,,Stworzone przez,,,,Разработчик,,,
WF_CRED_PUB,,,Published by,,,,Vertrieben von,,,,,,,,,,,,,,Wydane przez,,,,Издатель,,,
WF_CRED_ORIG,,,Original DOOM Code and Art Assets,,,,Original DOOM Code und Kunst-Assets,,,,,,,,,,,,,,Oryginalny kod i zasoby DOOM,,,,Оригинальный код и художественные ресурсы,,,
WF_CRED_MUSIC,,,Music,,,,Musik,,,,,,,,,,,,,,Muzyka,,,,Music,,,
WF_CRED_COVER,,,Cover Art,,,,Cover-Kunst,,,,,,,,,,,,,,Okładka,,,,Обложка,,,
WF_CRED_LD1,,,Level Designer,,,,Level Designer,,,,,,,,,,,,,,Projektant poziomów,,,,Дизайн уровней,,,
WF_CRED_TEST,,,Playtesters,,,,Test-Spieler,,,,,,,,,,,,,,Testerzy,,,,Тестеры,,,
WF_CRED_XBOXLD,,,Xbox Port Level Designers,,,,XBOX Port Level Designer,,,,,,,,,,,,,,Projektanci poziomów portu na Xbox,,,,Дизайнеры уровней из порта на Xbox,,,
WF_CRED_XBOXLD1,,,Xbox Port Level Designer,,,,XBOX Port Level Designer,,,,,,,,,,,,,,Projektant poziomów portu na Xbox,,,,Дизайнер уровня из порта на Xbox,,,
WF_CRED_SOUND,,,Sound,,,,,,,,,,,,,,,,,,Dźwięk,,,,Звуки,,,
WF_CRED_REJECTLD,,,Additional Level Designers,,,,Weitere Level Designer,,,,,,,,,,,,,,Dodatkowi projektanci poziomów,,,,Дополнительные дизайнеры уровней,,,
