Identifier,Remarks,Filter,default,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr,sv,tr,zh,zht
,“Which game?” menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_GAME,,,Which Game?,,,,,,,,,,,,,,,,,Która gra?,,,,Какая игра?,,,,,
WF_GAME_DOOM1,,,DOOM,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_GAME_DOOM2,,,DOOM II,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_GAME_FDOOM,,,Final DOOM,,,,,,,,,,,,,,,,,,,,,Финальный DOOM,,,,,
,“Which campaign?” menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CAMPAIGN,,,Which Campaign?,,,,,,,,,,,,,,,,,Która kampania?,,,,Какая кампания?,,,,,
WF_CAMPAIGN_DOOM1,,,The DOOM Trilogy,,,,,,,,,,,,,,,,,Trylogia DOOM,,,,Оригинальная трилогия DOOM,,,,,
WF_CAMPAIGN_UDOOM,,,The Ultimate DOOM,,,,,,,,,,,,,,,,,,,,,Предельный DOOM,,,,,
WF_CAMPAIGN_DOOM2,,,Hell on Earth,,Peklo na zemi,Helvede på jorden,Hölle auf Erden,Αρμαγεδδών,Infero sur la Tero,Infierno en la Tierra,,Helvetti maan päällä,Enfer sur Terre,Földi pokol,Inferno sulla Terra,第三惑星:地獄,지상에 강림한 지옥,Hel op Aarde,Helvete på jorden,Piekło na Ziemi,Inferno na Terra,,Iadul pe Pământ,Ад на Земле,Пакао на Земљи,Helvetet på jorden,Yeryüzündeki Cehennem,,
WF_CAMPAIGN_MASTER,,,Master Levels,,,,,,,,,,,,,,,,,Poziomy mistrzów,,,,Уровни мастеров,,,,,
WF_CAMPAIGN_NERVE,,,No Rest for the Living,,Nemajíť živí pokoje,Ingen hvile for de levende,Keine Ruhe für die Lebenden,Καμία Ανάπαυση για τους Ζωντανούς,Nenia ripozo por la vivantoj,No hay descanso para los vivos,,Ei lepoa eläville,Pas de repos pour les vivants,Nincs nyugodalom az élőnek,Nessun Riposo per i Vivi,休息なき生計,산 자에게 휴식은 없다,Geen Rust voor de Levenden,Ingen hvile for de levende,Nie ma pokoju dla żywych,Não Há Descanso Para os Vivos,,Cei vii Fără de Odihnă,Не будет покоя живым,Нема одмора живима,Ingen vila för de levande,Yaşayanlara Huzur Yok,,
WF_CAMPAIGN_ID1,,,Legacy of Rust,,,,,,,,,,,,,,,,,,,,,Наследие ржавчины,,,,,
WF_CAMPAIGN_TNT,,,TNT: Evilution,,TNT: Zlovoluce,,,ΤΝΤ: Κακοξέλιξη,TNT: Mavalucio,TNT: Diabolución,,TNT: Paholuutio,,,TNT: Malvoluzione,TNT:邪神化,TNT: 이블루션,Tnt: Evilutie,,TNT: Ewolucja zła,TNT: Malvolução,,TNT: Diavoluția,TNT: Дьяволюция,TNT: Ђаволуција,,,,
WF_CAMPAIGN_PLU,,,The Plutonia Experiment,,Experiment Plutonia,Plutonia-eksperimentet,Das Plutonia Experiment,Το Πείραμα Πλουτώνια,La eksperimento de Plutonia,El experimento Plutonia,,Plutoniakokemus,L'expérience Plutonia,A Plutonia-kísérlet,L'Esperimento di Plutonia,プルトニア記,플루토니아 익스페리먼트,Het Plutonia Experiment,Plutonia-eksperimentet,Eksperyment Plutonia,O Experimento Plutonia,A Experiência Plutonia,Experimentul Plutonia,Эксперимент «Плутония»,Експеримент Плутонија,Plutonia-experimentet,Plutonia Deneyi,,
,“Which episode?” menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_EPI1,The DOOM Trilogy,,Knee-Deep in the Dead,,Po kolena v mrtvých,Knæet dybt i de døde,Knietief im Tod,Βουτηγμένος στους Νεκρούς μέχρι τα γόνατα,Ĝiskole inter mortintoj,Hasta el cuello entre muertos,,Polvia myöten vainajissa,Plongé dans la Mort,Térdig halálban,Nella morte fino al collo,膝元迫る亡者,끝없이 밀려오는 죽음,Knie-diep in de Doden,Knedyp i de døde,Po kolana w trupach,Corpos até os Joelhos,,Îngropat printre Cadavre,По колено в трупах,До колена у лешевима,Knä-djupt i de döda,Ölüme Diz Boyu,,
WF_EPISODE_EPI2,,,The Shores of Hell,,Břehy pekla,Helvedes kyster,Die Ufer der Hölle,Οι Ακτές της Κόλασης,La Infer-bordoj,Las orillas del Infierno,,Hornan rannat,Les Portes de l'Enfer,A pokol tornáca,Le rive dell'Inferno,地獄の瀬戸際,지옥의 해변,De Oevers van de Hel,Helvetes kyster,Przedsionek piekieł,As Margens do Abismo,,Țărmurile Iadului,Прибрежье преисподней,Обале пакла,Helvetets stränder,Cehennem Kıyıları,,
WF_EPISODE_EPI3,,,Inferno,,,,,Πυρ το Εξώτερον,,,,,,Alvilág,,インフェルノ,연옥,,,,,,Infernul,Инферно,Инферно,,İnferno,,
WF_EPISODE_EPI4,The Ultimate DOOM,,Thy Flesh Consumed,,Tvé tělo pozřeto,Dit kød er fortæret,Dein Leib verzehrt,Η Σάρκα σου θα Καταναλωθεί,Kiam konsumiĝos via karno,Cuando tu carne se consuma,,Lihasi kulutettu,Votre Chair Consumée,Megemésztetik a te húsod,La tua Carne Consumata,滅びし汝の身,쇠패해진 그대의 육신,Uw Vlees Geconsumeerd,Ditt kjøtt fortæres,Ciało twe zwiotczeje,No Consumir-se da Tua Carne,,Carnea ta Fără de Vlagă,Твоя плоть поглощена,Твоје месо строшено,Ditt kött är uppslukat,Etin Tükendi,,
WF_EPISODE_EPI5,,,SIGIL,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_EPI6,,,SIGIL II,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_D2E1,Hell on Earth,,The Space Station,,,,,,,,,,,,,,,,,Stacja kosmiczna,,,,Космическая станция,,,,,
WF_EPISODE_D2E2,,,The City,,,,,,,,,,,,,,,,,Miasto,,,,Город,,,,,
WF_EPISODE_D2E3,,,Hell,,,,,,,,,,,,,,,,,Piekło,,,,Ад,,,,,
WF_EPISODE_MLE1,Master Levels,,Tim Willits,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_MLE2,,,Christen Klie,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_MLE3,,,Tom Mustaine,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_MLE4,,,Jim Flynn's Titan,,,,,,,,,,,,,,,,,Tytan Jima Flynna,,,,Титан Джима Флинна,,,,,
WF_EPISODE_MLE5,,,John Anderson's INFERNO,,,,,,,,,,,,,,,,,INFERNO Johna Andersona,,,,Песни Ада Джона Андерсона,,,,,
